0,0.000000
50,0.000116
60,0.000174
65,0.000347
70,0.000868
75,0.001563
80,0.003531
85,0.007988
90,0.028191
95,0.043415
100,0.062750
105,0.092272
110,0.162200
115,0.246368
120,0.324978
125,0.395427
130,0.452793
135,0.488625
140,0.515137
145,0.534472
150,0.549870
155,0.564863
160,0.581129
165,0.598669
170,0.620839
175,0.661881
180,0.717453
185,0.771288
190,0.814472
195,0.848162
200,0.878032
205,0.898755
210,0.915137
215,0.926194
220,0.935282
225,0.941650
230,0.945586
235,0.949986
240,0.952648
245,0.955832
250,0.957916
255,0.959479
260,0.961505
265,0.962779
270,0.963994
275,0.965673
280,0.967178
285,0.968741
290,0.970130
295,0.971404
300,0.972562
305,0.974298
310,0.975861
315,0.977308
320,0.978524
325,0.979913
330,0.981476
335,0.982518
340,0.983618
345,0.984949
350,0.985933
355,0.986570
360,0.987265
365,0.987554
370,0.988249
375,0.988538
380,0.988712
385,0.989291
390,0.989928
395,0.990275
400,0.990854
405,0.991375
410,0.991491
415,0.991548
420,0.991954
425,0.992185
430,0.992417
435,0.992706
440,0.992822
445,0.993169
450,0.993401
455,0.993748
460,0.994211
465,0.994501
470,0.994559
475,0.994732
480,0.994906
485,0.995022
490,0.995195
495,0.995369
500,0.995427
505,0.995543
510,0.995716
515,0.995948
520,0.996006
525,0.996064
530,0.996122
535,0.996179
540,0.996237
550,0.996353
555,0.996469
560,0.996643
565,0.996700
570,0.996816
575,0.996874
580,0.997048
585,0.997164
590,0.997279
600,0.997395
620,0.997453
630,0.997511
635,0.997569
640,0.997627
650,0.997685
655,0.997742
665,0.997800
670,0.997858
675,0.997974
685,0.998032
710,0.998148
715,0.998205
720,0.998263
745,0.998321
750,0.998379
755,0.998437
795,0.998553
815,0.998611
845,0.998669
860,0.998784
865,0.998842
880,0.998958
900,0.999132
905,0.999190
920,0.999247
925,0.999363
960,0.999421
965,0.999479
975,0.999537
980,0.999595
1025,0.999653
1030,0.999711
1045,0.999768
1115,0.999826
1140,0.999884
1225, 1.000000
